Type,Name,Description,Sale price,Regular price,Categories,External URL,Meta: online_shop_sidebar_layout,Meta: onesignal_meta_box_present,Meta: onesignal_send_notification
simple,2 States - Chetan Bhagat,"Author: Chetan Bhagat

Condition : Pre-owned",80,150,Novels,,default-sidebar,,
simple,World Best Boy Friend - Durjoy  Datta,"Author: Durjoy Dutta

Condition : Pre-Owned",80,175,Novels,,default-sidebar,,
simple,One Night At The Call Center - Chetan Bhagat,,80,199,Novels,,default-sidebar,,
simple,CAT Quantitative Aptitude,"CAT Quantitative Aptitude

author - Arun Sharma

publihser - Tata Mcgraw Hill",525,875,Competitive Exams,,default-sidebar,1,
simple,family matters - Rohinton Mistry,"Author - Rohinton Mistry

Condition - Pre-owned",130,600,Novels,,default-sidebar,1,
simple,It started with a friend request : Sudeep nagarkar,"Author - Sudeep Nagarkar

Condition - Pre-owned",85,199,Novels,,default-sidebar,1,
simple,The girl of my dreams - Durjoy Datta,"Author - Durjoy Datta

Condition - Pre-owned",85,199,Novels,,default-sidebar,1,
simple,Guide - RK Narayana,,80,135,Novels,,default-sidebar,,
simple,Half girlfriend - Chetan Bhagat,"Author - Chetan bhagat

Condition - Pre-owned",80,199,Novels,,default-sidebar,1,
simple,Our Impossible love - Durjoy Datta,"Author - Durjoy Datta

Condition - Pre-owned",85,199,Novels,,default-sidebar,1,
simple,Inferno - Dan Brown,"Author - Dan brown

Condition - Pre-owned",200,399,Novels,,default-sidebar,1,
simple,The scion of Ishwaku - Amish tripathi,"Author - Amish tripathi

Condition - Pre-owned",150,399,Novels,,default-sidebar,1,
simple,Itoohadalovestory,,,100,Novels,,default-sidebar,,
simple,Till the Last breath - Durjoy Datta,"Author -  Durjoy Dutta

Condition - Pre-owned",85,199,Novels,,default-sidebar,1,
simple,Longjourney,,,100,Novels,,default-sidebar,,
simple,The Lost symbol - Dan Brown,"Author -  Dan Brown

Condition - Pre-owned",200,399,Novels,,default-sidebar,1,
simple,This Love that feels right - Ravinder Singh,"Author - Ravinder Singh

Condition - Pre-owned",85,199,Novels,,default-sidebar,1,
simple,CAT Logical Reasoning,"CAT Logical Reasoning

author - Arun Sharma

publihser - Tata Mcgraw Hill",375,625,Competitive Exams,,default-sidebar,1,
simple,Can Love happen twice - Ravinder Singh,"Author - Ravinder Singh

Condition - Pre-owned",85,199,Novels,,default-sidebar,1,
simple,CAT Verbal Ability & Reading Comprehension,"CAT Verbal Ability &amp; Reading Comprehension

author - Arun Sharma

publihser - Tata Mcgraw Hill",525,875,Competitive Exams,,default-sidebar,1,
simple,The three mistakes of my life - Chetan Bhagat,"Author -  Chetan Bhagat

Condition - Pre-owned",80,199,Novels,,default-sidebar,1,
simple,CAT Data Interpretation,"CAT Data Interpretation

author - Arun Sharma

publihser - Tata Mcgraw Hill",477,795,Competitive Exams,,default-sidebar,1,
simple,The secret of Nagas - Amish Tripathi,"Author - Amish Tripathi

Condition - Pre-owned",150,295,Novels,,default-sidebar,1,
simple,Our story needs no filter - Sudeep Nagarkar,"Author -   Sudeep Nagarkar

Condition - Pre-owned",85,199,Novels,,default-sidebar,1,
simple,Quantitative Aptitude for Competitive Exams,"Quantitative Aptitude for Competitive Exams

author - R S Agarwal

publihser - S Chand",471.25,725,Competitive Exams,,default-sidebar,1,
simple,Now that you are rich - Durjoy Datta,"Author - Durjoy Datta

Condition - Pre-owned",85,199,Novels,,default-sidebar,1,
simple,Modern Approach to Verbal & Non Verbal Reasoning,"Modern Approach to Verbal &amp; Non Verbal Reasoning

author - R S Agarwal

publihser - S Chand",601.25,925,Competitive Exams,,default-sidebar,1,
simple,One Indian Girl - Chetan Bhagat,"Author- Chetan Bhagat

Condition- Pre-Owned",80,190,Novels,,default-sidebar,,
simple,Modern Approach to Non Verbal Reasoning,"Modern Approach to Non Verbal Reasoning

author - R S Agarwal

publihser - S Chand",295.75,455,Competitive Exams,,default-sidebar,1,
simple,The Painted house - John Grisham,,130,399,Novels,,default-sidebar,,
simple,Objective General English,"Objective General English

author - R S Agarwal

publihser - S Chand",425.75,655,Competitive Exams,,default-sidebar,1,
simple,Train to Pakistan - Khushwant Singh,,100,250,Novels,,default-sidebar,,
simple,The Rackeeteer - John Grisham,,130,399,Novels,,default-sidebar,,
simple,The Rainmaker - John Grisham,"Author - John Grisham

Condition - Pre-owned",130,399,Novels,,default-sidebar,1,
simple,Ram - Scion of Ikshvaku - Amish Tripathi,,150,399,Novels,,default-sidebar,,
simple,Objective General English,"Objective General English

author - SP Bakshi

publihser - Arihant",171,285,Competitive Exams,,default-sidebar,1,
simple,Modern Approach to  Verbal Reasoning,"Modern Approach to Verbal Reasoning

author - R S Agarwal

publisher - S Chand",321.75,495,Competitive Exams,,default-sidebar,1,
simple,General Knowledge 2019,"General Knowledge 2019

author - Manohar Pandey

publihser - Arihant",111,185,Competitive Exams,,default-sidebar,1,
simple,General Knowledge English,"General Knowledge English

author - Binay karna

publihser - Lucent",162,216,Competitive Exams,,default-sidebar,1,
simple,Samanya Gyaan Hindi,"Samanya Gyaan Hindi

author - Singh S K

publihser - Lucent",120,160,Competitive Exams,,default-sidebar,1,
simple,Quantitative Aptitude Quantum CAT,"Quantitative Aptitude Quantum CAT

author - Sarvesh k verma

publihser - Arihant",489,815,Competitive Exams,,default-sidebar,1,
simple,SBI PO Solved Papers 2017-1999,"SBI PO Solved Papers 2017-1999

publihser - Arihant",180,300,Competitive Exams,,default-sidebar,1,
simple,SBI PO Phase 1  Study Guide  Prelims,"SBI PO Phase 1 Study Guide Prelims

publihser - Arihant",228,380,Competitive Exams,,default-sidebar,1,
simple,SBI PO Phase 2 Study Guide  Mains,"SBI PO Phase 2 Study Guide Mains

publihser - Arihant",252,420,Competitive Exams,,default-sidebar,1,
simple,Geography of India for Civil Service Examination,"Geography of India for Civil Service Examination

author - Majid Hussain

publihser - Tata Mcgraw Hill",451.75,695,Competitive Exams,,default-sidebar,1,
simple,Indian Polity For Civil Service Examination,"Indian Polity For Civil Service Examination

author - M Laxmikanth

publihser - Tata Mcgraw Hill",474.5,730,Competitive Exams,,default-sidebar,1,
simple,Indian Economy for Civil and Other Exams,"Indian Economy for Civil and Other Exams

author - Ramesh Singh

publihser - Tata Mcgraw Hill",471.25,725,Competitive Exams,,default-sidebar,1,
simple,Indian Art & Culture for UPSC and other civil exams,"Indian Art &amp; Culture for UPSC and other civil exams

author - Nitin singhania

publihser - Tata Mcgraw Hill",386.75,595,Competitive Exams,,default-sidebar,1,
simple,General Studies Paper 1 2018 for Civil Services Prelims Exams,"General Studies Paper 1 2018 for Civil Services Prelims Exams

author - Manohar Pandey

publihser - Arihant",885,1475,College Books,,default-sidebar,,
simple,IAS Pre General Studies Chapter Year Solved Papers 1995-2017,"IAS Pre General Studies Chapter Year Solved Papers 1995-2017

publihser - Arihant",231,385,Competitive Exams,,default-sidebar,1,
simple,IAS Mains General Studies Paper 1,"IAS Mains General Studies Paper 1

publisher - Arihant",300,500,Competitive Exams,,default-sidebar,1,
simple,IAS Mains General Studies Paper 3,"IAS Mains General Studies Paper 3

publihser - Arihant",300,500,Competitive Exams,,default-sidebar,1,
simple,IAS Mains General Studies Paper 4,"IAS Mains General Studies Paper 4

publihser - Arihant",240,400,Competitive Exams,,default-sidebar,1,
simple,IAS Mains General Studies Paper 2,"IAS Mains General Studies Paper 2

publisher - Arihant",300,500,Competitive Exams,,default-sidebar,1,
simple,General Studies Paper 1 for Civil Service Prelims Exams,"General Studies Paper 1 for Civil Service Prelims Exams

publihser - Tata Mcgraw Hill",957,1595,Competitive Exams,,default-sidebar,1,
simple,General Studies Paper 2 For Civil Service Prelims Exams,"General Studies Paper 2 For Civil Service Prelims Exams

publihser - Tata Mcgraw Hill",597,995,Competitive Exams,,default-sidebar,1,
simple,12 Year Solved Papers Neet 2005-2017,"12 Year Solved Papers Neet 2005-2017

publisher - Arihant",258,430,Competitive Exams,,default-sidebar,1,
simple,SSC Mathematics Chapterwise Questions with detailed solution 7300  Questions,"SSC Mathematics Chapterwise Questions with detailed solution 7300  Questions

author - Rakesh yadav

publihser - RYRP",270,360,Competitive Exams,,default-sidebar,1,
simple,SSC Reasoning Chapterwise Questions with detailed solution 7300  Questions,"SSC Reasoning Chapterwise Questions with detailed solution 7300  Questions

author - Rakesh yadav

publihser - RYRP",270,360,Competitive Exams,,default-sidebar,1,
simple,SSC GS Chapterwise Questions with detailed solution 7300  Questions,"SSC GS Chapterwise Questions with detailed solution 7300  Questions

author - Rakesh yadav

publisher - RYRP",345,460,Competitive Exams,,default-sidebar,1,
simple,History of Modern India,"History of Modern India

author - Bipan Chandra

publihser - Orient blackswan",236,295,Competitive Exams,,,1,
simple,India's Struggle for Independence,"India's Struggle for Independence

author - Bipan Chandra, Aditya mukherjee, Sucheta Mahajan

publihser -penguin",299.25,399,Competitive Exams,,,1,
simple,Certificate Human and Phsyical Geography,"Certificate Human and Phsyical Geography

author - GC Leong

publihser -Oxford India",260,325,Competitive Exams,,,1,
simple,2017-2000 Solved Papers SSC General Studies 2018,"2017-2000 Solved Papers SSC General Studies 2018

publihser - Arihant",243,405,Competitive Exams,,,1,
simple,2017-2000 Solved Papers SSC Reasoning 2018,"2017-2000 Solved Papers SSC Reasoning 2018

publisher -Arihant",183,305,Competitive Exams,,,1,
simple,Understanding ICSE Maths ICSE class 9,"Understanding ICSE Maths

publisher : Arya Publication

author : M.L. Agarwal

class : 9",,,School Books,,,1,
simple,2017-2000 Solved Papers SSC English Language  2018,"2017-2000 Solved Papers SSC English Language 2018

publihser -Arihant",177,295,Competitive Exams,,,1,
simple,Understanding ICSE Maths ICSE class 10 ML  Aggarwal,"Understanding ICSE Maths

publisher : Arya Publication

author : M.L. Agarwal

class : 10",405,450,School Books,,,1,
simple,IIFT 5 Mock Tests & 10 Solved Papers,"IIFT 5 Mock Tests &amp; 10 Solved Papers

publisher -Arihant",247,380,Competitive Exams,,,1,
simple,Understanding ICSE Maths ISC class 11,"Understanding Maths ISC class 11

publisher : Arya Publication

author : M.L. Agarwal

class : 11",715.5,795,School Books,,,1,
simple,Brie History of Modern India,"Brief History of Modern India

author - Rajiv Ahir

publisher -Spectrum",260,325,Competitive Exams,,,1,
simple,Understanding ICSE Maths ISC class 12,"Understanding  Maths ISC class 12

publisher : Arya Publication

author : M.L. Agarwal

class : 12

Board : ISC",765,850,School Books,,,1,
simple,Cengage Mathematics for JEE Advanced Calculus,"Mathematics for JEE Advanced Calculus

author - G Tewani

publihser -Cengage",532.35,819,"Competitive Exams, School Books",,,1,
simple,Cengage Mathematics for JEE Advanced Algebra,"Mathematics for JEE Advanced Algebra

author - G Tewani

publihser -Cengage",538.85,829,Competitive Exams,,,1,
simple,Mathematics for JEE Advanced Coordinate Geometry,"Mathematics for JEE Advanced Coordinate Geometry

author - G Tewani

publihser -Cengage",454.35,699,Competitive Exams,,,1,
simple,Cengage Mathematics for JEE Advanced Trigonometry,"Mathematics for JEE Advanced Trigonometry

author - G Tewani

publihser -Cengage",330.85,509,Competitive Exams,,,1,
simple,Cengage Physics For JEE Advanced Mechanics 1,"Physics For JEE Advanced Mechanics 1

author -BM Sharma

publihser -Cengage",486.85,749,"Competitive Exams, School Books",,,1,
simple,Cengage Physics For JEE Advanced Waves & Thermodynamics,"Physics For JEE Advanced Waves &amp; Thermodynamics

author -BM Sharma

publihser -Cengage",460.85,709,"Competitive Exams, School Books",,,1,
simple,Physics For JEE Advanced Optics & Modern Physics,"Physics For JEE Advanced Optics &amp; Modern Physics

author -BM Sharma

publihser -Cengage",480.35,739,Competitive Exams,,,1,
simple,Cengage Physical Chemistry JEE Advanced Part 1,"Physical Chemistry JEE Advanced Part 1

author -K S Verma

publihser -Cengage",597.35,919,Competitive Exams,,,1,
simple,ISC Mathematics Class 12 Saha&Saha,"Publisher : Kalyani

author : Surjana Saha &amp; Sabita Saha

class : 12

Board : ISC",535.5,595,School Books,,,,
simple,Physical Chemistry JEE Advanced Part 2,"Physical Chemistry JEE Advanced Part 2

author -K S Verma
publihser -Cengage",525.85,809,Competitive Exams,,,1,
simple,Cengage Organic Chemistry JEE Advanced Part 1,"Organic Chemistry JEE Advanced Part 1

author -K S Verma
publihser -Cengage",512.85,789,"Competitive Exams, School Books",,,1,
simple,Organic Chemistry JEE Advanced Part 2 Cengage,"Organic Chemistry JEE Advanced Part 2

Author -K S Verma
publisher -Cengage",558.35,859,"Competitive Exams, School Books",,,1,
simple,Inorganic Chemistry jee Advancd Part 1 Cengage,"Inorganic Chemistry jee Advanced Part 1

author -K S Verma
publisher -Cengage",538.85,829,"Competitive Exams, School Books",,,1,
simple,Cengage Inorganic Chemistry JEE Advancd Part 2,"Inorganic Chemistry jee Advanced Part 2

Author -K S Verma
publisher -Cengage

&nbsp;",519.35,799,Competitive Exams,,,1,
simple,30 Years Chapterwise Solutions Neet Physics,"30 Years Chapterwise Solutions Neet Physics

publihser-Arihant",185.25,285,Competitive Exams,,,1,
simple,30 Years Chapterwise Solutions Neet Chemistry,"30 Years Chapterwise Solutions Neet Chemistry

publisher-Arihant",172.25,265,Competitive Exams,,,1,
simple,30 Years Chapterwise Solutions Neet Biology,"30 Years Chapterwise Solutions Neet Biology

publisher-Arihant",191.75,295,Competitive Exams,,,1,
simple,Objective Physics Vol 1 For Neet preparatory Series,"Objective Physics Vol 1 For Neet preparatory Series

author -D C Pandey

publihser -Arihant",435.5,670,Competitive Exams,,,1,
simple,Objective Physics Vol 2 For Neet preparatory Series,"Objective Physics Vol 2 For Neet preparatory Series

author -D C Pandey

publihser -Arihant",435.5,670,Competitive Exams,,,1,
simple,Exploring Biology Vol 1 for NEET Preparatory Series,"Exploring Biology Vol 1 for NEET Preparatory Series

publisher -Arihant

&nbsp;",500.5,770,Competitive Exams,,,1,
simple,Exploring Biology Vol 2 or NEET Preparatory Series,"Exploring Biology Vol 2 or NEET Preparatory Series

publisher -Arihant",435.5,670,Competitive Exams,,,1,
simple,PCM Objective Engineering Vol 1 ( Set of 3 Books ),"PCM Objective Engineering Vol 1 ( Set of 3 Books )

publisher -Arihant",1462.5,2250,Competitive Exams,,,1,
simple,PCM Objective Engineering Vol 2 ( Set of 3 Books ),"PCM Objective Engineering Vol 2 ( Set of 3 Books )

publisher - Arihant",1443,2220,Competitive Exams,,,1,
simple,ICSE Mathematics Class 9,"ICSE Mathematics Class 9

publisher : Selina

class : 9",,,School Books,,,1,
simple,A Master Resource for Physics JEE Main,"A Master Resource for Physics JEE Main

publisher - Arihant

Author - DB Singh",519.35,799,Competitive Exams,,,1,
simple,A Master Resource for Mathematics JEE Main,"A Master Resource for Mathematics JEE Main

publisher - Arihant

Author - Prafull Agarwal

&nbsp;",519.35,799,Competitive Exams,,,1,
simple,ICSE Mathematics Class 10,"ICSE Mathematics Class 10

publisher : Selina

class : 10

Board : ICSE",,,School Books,,,1,
simple,A Master Resource for Chemistry JEE Main,"A Master Resource for Chemistry JEE Main

Publisher - Arihant

Author - Sanjay sharma

&nbsp;",519.35,799,Competitive Exams,,,,
simple,Understanding Physics for JEE Main and Advanced MECHANICS Part 2,"Understanding Physics for JEE Main and Advanced MECHANICS Part 2

publisher - Arihant

Author - DC Pandey

Subject - Physics",256.75,395,Competitive Exams,,,,
simple,Understanding Physics for JEE Main and Advanced MECHANICS Part 1,"Understanding Physics for JEE Main and Advanced MECHANICS Part 1

Publisher - Arihant

Author - DC Pandey

Subject - Physics",256.75,395,Competitive Exams,,,,
simple,Understanding CBSE Maths Class 12,"Understanding CBSE Maths Class 12

Publisher : Arya Publication

Author : M.L. Agarwal

Class : 12",,,School Books,,,1,
simple,Understanding CBSE Maths Class 11,"Understanding CBSE Maths Class 11

Publisher : Arya Publication

Author : M.L. Agarwal

Class : 11",,,School Books,,,1,
simple,Accounts Double entry Book Keeping class 11,"Accounts Double entry Book Keeping

Publisher : Sultan Chand

Author : T S Grewal

Class : 11

Board :  CBSE",517.5,575,School Books,,,1,
simple,Accounts Double entry Book Keeping class 12,"Accounts Double entry Book Keeping class 12

Publisher : Sultan Chand

Author : T S Grewal

Class : 12

Board : ISC",679.5,755,School Books,,,1,
simple,Accounts Monilal Das ISC class 11,"Accounts

Author : Monilal Das

Publisher : ABS

Class : 11

Board : ISC",648.5,720,School Books,,,1,
simple,Accounts Monilal Das class 12 ISC,"Accounts

Author : Monilal Das

Publisher : ABS

Class : 12

Board : ISC",661.5,735,School Books,,,1,
simple,Accounts Double entry Book Keeping class 11 (CBSE),"Accounts Double entry Book Keeping class 11 (CBSE)

Publisher : Sultan Chand

Author : T S Grewal

Class : 11

Board : CBSE",517.5,575,School Books,,,,
simple,Accounts Double entry Book Keeping class 12 (CBSE),"Accounts Double entry Book Keeping class 12 (CBSE)

Publisher : Sultan Chand

Author : T S Grewal

Class : 12",517.5,575,School Books,,,1,
simple,CBSE Accountancy Class 12,"CBSE Accountancy Class 12

Publisher : Avichal Publishing Company

Author : D.K.Goel &amp; Rajesh Goel

Class : 12

Board : CBSE",517.5,575,School Books,,,1,
simple,ISC Accountancy Class 11,"ISC Accountancy Class 11

Publisher : Avichal Publishing Company

Author : D.K.Goel &amp; Rajesh Goel

ISC : 11

Board : ISC",702,780,School Books,,,1,
simple,ISC Accountancy Class 12,,517.5,575,School Books,,,,
